pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	abangle	annotation_H	annotation_L	imgt_H	imgt_L	sequence_raw	sequence_H	sequence_L	structure	structure_chothia	in_nr_set	curated_quality_dataset	split	date_parsed	has_light_chain
8k3k	D		0	E	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	01/24/24	The crystal structure of nanobody Nb4 in complex with receptor binding domain (RBD) of BA.1 Spike protein	Severe acute respiratory syndrome coronavirus 2; synthetic construct	synthetic construct		severe acute respiratory syndrome coronavirus2 	Wang, H.Y., Xu, W.Q.	2.43	X-RAY DIFFRACTION	0.269	0.224	False	True	IGHV1									sabdab_dataset/8k3k/annotation/8k3k_D_VH.ann		sabdab_dataset/8k3k/imgt/8k3k_D_H.ann		sabdab_dataset/8k3k/sequence/8k3k_raw.pdb	sabdab_dataset/8k3k/sequence/8k3k_D_VH.fa		sabdab_dataset/8k3k/structure/8k3k.pdb	sabdab_dataset/8k3k/structure/chothia/8k3k.pdb	True	True	train	2024-01-24	False
8k3l	B		0	A	protein		superoxide dismutase [cu-zn]	OXIDOREDUCTASE/IMMUNE SYSTEM	07/17/24	SOD1 and Nanobody3 complex	Camelus dromedarius; Homo sapiens	camelus dromedarius		homo sapiens	Cheng, S., Liu, R., Ding, Y.	2.3	X-RAY DIFFRACTION	0.235	0.195	False	True	IGHV1									sabdab_dataset/8k3l/annotation/8k3l_B_VH.ann		sabdab_dataset/8k3l/imgt/8k3l_B_H.ann		sabdab_dataset/8k3l/sequence/8k3l_raw.pdb	sabdab_dataset/8k3l/sequence/8k3l_B_VH.fa		sabdab_dataset/8k3l/structure/8k3l.pdb	sabdab_dataset/8k3l/structure/chothia/8k3l.pdb	False	False	validation	2024-07-17	False
8opr	B		0	A	protein		s-layer protein ea1	STRUCTURAL PROTEIN	11/08/23	Structure of the EA1 surface layer of Bacillus anthracis	Bacillus anthracis; Lama glama	lama glama		bacillus anthracis	Sogues, A., Remaut, H.	1.811	X-RAY DIFFRACTION	0.243	0.204	False	True	IGHV1									sabdab_dataset/8opr/annotation/8opr_B_VH.ann		sabdab_dataset/8opr/imgt/8opr_B_H.ann		sabdab_dataset/8opr/sequence/8opr_raw.pdb	sabdab_dataset/8opr/sequence/8opr_B_VH.fa		sabdab_dataset/8opr/structure/8opr.pdb	sabdab_dataset/8opr/structure/chothia/8opr.pdb	True	True	train	2023-11-08	False
8oww	B		0	A	protein		spike protein s2'	VIRAL PROTEIN	05/08/24	B5-5 nanobody bound to SARS-CoV-2 spike RBD (Wuhan)	Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2 	Cornish, K.A.S., Naismith, J.H., Owens, R.J.	1.969	X-RAY DIFFRACTION	0.223	0.181	False	True	IGHV1									sabdab_dataset/8oww/annotation/8oww_B_VH.ann		sabdab_dataset/8oww/imgt/8oww_B_H.ann		sabdab_dataset/8oww/sequence/8oww_raw.pdb	sabdab_dataset/8oww/sequence/8oww_B_VH.fa		sabdab_dataset/8oww/structure/8oww.pdb	sabdab_dataset/8oww/structure/chothia/8oww.pdb	True	True	train	2024-05-08	False
8oxv	B	C	0	A	protein		protein-glutamine gamma-glutamyltransferase e 27 kda non-catalytic chain 	TRANSFERASE	10/18/23	Transglutaminase 3 zymogen in complex with DH patient-derived Fab DH63-B02	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Heggelund, J.E., Sollid, L.M.	1.8	X-RAY DIFFRACTION	0.229	0.185	False	True	IGHV3	IGLV6	Lambda						sabdab_dataset/8oxv/abangle/8oxv.abangle	sabdab_dataset/8oxv/annotation/8oxv_B_VH.ann	sabdab_dataset/8oxv/annotation/8oxv_C_VL.ann	sabdab_dataset/8oxv/imgt/8oxv_B_H.ann	sabdab_dataset/8oxv/imgt/8oxv_C_L.ann	sabdab_dataset/8oxv/sequence/8oxv_raw.pdb	sabdab_dataset/8oxv/sequence/8oxv_B_VH.fa	sabdab_dataset/8oxv/sequence/8oxv_C_VL.fa	sabdab_dataset/8oxv/structure/8oxv.pdb	sabdab_dataset/8oxv/structure/chothia/8oxv.pdb	True	False	train	2023-10-18	True
8oxw	B	C	0	A	protein		protein-glutamine gamma-glutamyltransferase e 27 kda non-catalytic chain 	TRANSFERASE	10/18/23	Transglutaminase 3 in complex with DH patient-derived Fab DH63-B02	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Heggelund, J.E., Sollid, L.M.	1.7	X-RAY DIFFRACTION	0.21	0.172	False	True	IGHV3	IGLV6	Lambda						sabdab_dataset/8oxw/abangle/8oxw.abangle	sabdab_dataset/8oxw/annotation/8oxw_B_VH.ann	sabdab_dataset/8oxw/annotation/8oxw_C_VL.ann	sabdab_dataset/8oxw/imgt/8oxw_B_H.ann	sabdab_dataset/8oxw/imgt/8oxw_C_L.ann	sabdab_dataset/8oxw/sequence/8oxw_raw.pdb	sabdab_dataset/8oxw/sequence/8oxw_B_VH.fa	sabdab_dataset/8oxw/sequence/8oxw_C_VL.fa	sabdab_dataset/8oxw/structure/8oxw.pdb	sabdab_dataset/8oxw/structure/chothia/8oxw.pdb	False	False	train	2023-10-18	True
8oxx	B	C	0	A	protein		protein-glutamine gamma-glutamyltransferase e 27 kda non-catalytic chain 	TRANSFERASE	10/18/23	Transglutaminase 3 in complex with inhibitor Z-don and DH patient-derived Fab DH63-B02	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Heggelund, J.E., Sollid, L.M.	2.5	X-RAY DIFFRACTION	0.222	0.154	False	True	IGHV3	IGLV6	Lambda						sabdab_dataset/8oxx/abangle/8oxx.abangle	sabdab_dataset/8oxx/annotation/8oxx_B_VH.ann	sabdab_dataset/8oxx/annotation/8oxx_C_VL.ann	sabdab_dataset/8oxx/imgt/8oxx_B_H.ann	sabdab_dataset/8oxx/imgt/8oxx_C_L.ann	sabdab_dataset/8oxx/sequence/8oxx_raw.pdb	sabdab_dataset/8oxx/sequence/8oxx_B_VH.fa	sabdab_dataset/8oxx/sequence/8oxx_C_VL.fa	sabdab_dataset/8oxx/structure/8oxx.pdb	sabdab_dataset/8oxx/structure/chothia/8oxx.pdb	False	False	train	2023-10-18	True
8oxy	B	C	0	A	protein		protein-glutamine gamma-glutamyltransferase e 27 kda non-catalytic chain 	TRANSFERASE	10/18/23	Transglutaminase 3 without calcium in complex with DH patient-derived Fab DH63-B02	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Heggelund, J.E., Sollid, L.M.	2.0	X-RAY DIFFRACTION	0.226	0.176	False	True	IGHV3	IGLV6	Lambda						sabdab_dataset/8oxy/abangle/8oxy.abangle	sabdab_dataset/8oxy/annotation/8oxy_B_VH.ann	sabdab_dataset/8oxy/annotation/8oxy_C_VL.ann	sabdab_dataset/8oxy/imgt/8oxy_B_H.ann	sabdab_dataset/8oxy/imgt/8oxy_C_L.ann	sabdab_dataset/8oxy/sequence/8oxy_raw.pdb	sabdab_dataset/8oxy/sequence/8oxy_B_VH.fa	sabdab_dataset/8oxy/sequence/8oxy_C_VL.fa	sabdab_dataset/8oxy/structure/8oxy.pdb	sabdab_dataset/8oxy/structure/chothia/8oxy.pdb	False	False	train	2023-10-18	True
8ozb	A		0	F	protein		nucleoporin nup35	TRANSPORT PROTEIN	02/28/24	Crystal structure of Nup35-Nb complex	Homo sapiens; Lama glama	lama glama		homo sapiens	Srinivasan, V.	2.09	X-RAY DIFFRACTION	0.267	0.242	False	True	IGHV1									sabdab_dataset/8ozb/annotation/8ozb_A_VH.ann		sabdab_dataset/8ozb/imgt/8ozb_A_H.ann		sabdab_dataset/8ozb/sequence/8ozb_raw.pdb	sabdab_dataset/8ozb/sequence/8ozb_A_VH.fa		sabdab_dataset/8ozb/structure/8ozb.pdb	sabdab_dataset/8ozb/structure/chothia/8ozb.pdb	True	True	train	2024-02-28	False
8pe1	C		0	A	protein		1,3-beta-glucanosyltransferase	TRANSFERASE	06/19/24	Crystal structure of Gel4 in complex with Nanobody 4	Aspergillus fumigatus Af293; Vicugna pacos	vicugna pacos		aspergillus fumigatus af293	Macias-Leon, J., Redrado-Hernandez, S., Castro-Lopez, J., Sanz, A.B., Arias, M., Farkas, V., Vincke, C., Muyldermans, S., Pardo, J., Arroyo, J., Galvez, E., Hurtado-Guerrero, R.	1.9	X-RAY DIFFRACTION	0.264	0.215	False	True	unknown	unknown	unknown							sabdab_dataset/8pe1/annotation/8pe1_C_VH.ann				sabdab_dataset/8pe1/sequence/8pe1_raw.pdb	sabdab_dataset/8pe1/sequence/8pe1_C_VH.fa		sabdab_dataset/8pe1/structure/8pe1.pdb	sabdab_dataset/8pe1/structure/chothia/8pe1.pdb	True	True	validation	2024-06-19	False
8pe2	B		0	A	protein		1,3-beta-glucanosyltransferase	TRANSFERASE	06/19/24	Crystal structure of Gel4 in complex with Nanobody 3	Aspergillus fumigatus; Vicugna pacos	vicugna pacos		aspergillus fumigatus	Macias-Leon, J., Redrado-Hernandez, S., Castro-Lopez, J., Sanz, A.B., Arias, M., Farkas, V., Vincke, C., Muyldermans, S., Pardo, J., Arroyo, J., Galvez, E., Hurtado-Guerrero, R.	2.05	X-RAY DIFFRACTION	0.206	0.172	False	True	IGHV1									sabdab_dataset/8pe2/annotation/8pe2_B_VH.ann		sabdab_dataset/8pe2/imgt/8pe2_B_H.ann		sabdab_dataset/8pe2/sequence/8pe2_raw.pdb	sabdab_dataset/8pe2/sequence/8pe2_B_VH.fa		sabdab_dataset/8pe2/structure/8pe2.pdb	sabdab_dataset/8pe2/structure/chothia/8pe2.pdb	True	True	train	2024-06-19	False
8pih	B		0	A	protein		phospholipase a2	ALLERGEN	05/08/24	Structure of Api m1 in complex with two nanobodies	Apis mellifera; Lama glama	lama glama		apis mellifera	Aagaard, J.B., Gandini, R., Spillner, E., Miehe, M., Andersen, G.R.	1.76	X-RAY DIFFRACTION	0.202	0.171	False	True	IGHV1									sabdab_dataset/8pih/annotation/8pih_B_VH.ann		sabdab_dataset/8pih/imgt/8pih_B_H.ann		sabdab_dataset/8pih/sequence/8pih_raw.pdb	sabdab_dataset/8pih/sequence/8pih_B_VH.fa		sabdab_dataset/8pih/structure/8pih.pdb	sabdab_dataset/8pih/structure/chothia/8pih.pdb	True	True	test	2024-05-08	False
8pmz	B	b	0	A	protein		pro-secreted protein orf2	VIRAL PROTEIN	07/10/24	HEV gt3 P domain in complex with glycan-insensitive nAb p61.15	Homo sapiens; Paslahepevirus balayani	homo sapiens		paslahepevirus balayani	Ssebyatika, G., Krey, T.	1.912	X-RAY DIFFRACTION	0.257	0.225	True	True	unknown	unknown	unknown						sabdab_dataset/8pmz/abangle/8pmz.abangle	sabdab_dataset/8pmz/annotation/8pmz_B_VH.ann	sabdab_dataset/8pmz/annotation/8pmz_B_VL.ann	sabdab_dataset/8pmz/imgt/8pmz_B_H.ann	sabdab_dataset/8pmz/imgt/8pmz_B_L.ann	sabdab_dataset/8pmz/sequence/8pmz_raw.pdb	sabdab_dataset/8pmz/sequence/8pmz_B_VH.fa	sabdab_dataset/8pmz/sequence/8pmz_B_VL.fa	sabdab_dataset/8pmz/structure/8pmz.pdb	sabdab_dataset/8pmz/structure/chothia/8pmz.pdb	True	True	train	2024-07-10	True
8pwv	B	b	0	A	protein		reticulocyte-binding protein homolog 5	CELL ADHESION	06/05/24	PfRH5 bound to monoclonal antibody MAD8-502	Homo sapiens; Plasmodium falciparum 3D7	homo sapiens		plasmodium falciparum 3d7	Farrell, B., Higgins, M.K.	2.07	X-RAY DIFFRACTION	0.279	0.269	True	True	unknown	unknown	unknown						sabdab_dataset/8pwv/abangle/8pwv.abangle	sabdab_dataset/8pwv/annotation/8pwv_B_VH.ann	sabdab_dataset/8pwv/annotation/8pwv_B_VL.ann	sabdab_dataset/8pwv/imgt/8pwv_B_H.ann	sabdab_dataset/8pwv/imgt/8pwv_B_L.ann	sabdab_dataset/8pwv/sequence/8pwv_raw.pdb	sabdab_dataset/8pwv/sequence/8pwv_B_VH.fa	sabdab_dataset/8pwv/sequence/8pwv_B_VL.fa	sabdab_dataset/8pwv/structure/8pwv.pdb	sabdab_dataset/8pwv/structure/chothia/8pwv.pdb	True	True	train	2024-06-05	True
8pww	B	b	0	A	protein		reticulocyte-binding protein homolog 5	CELL ADHESION	06/05/24	PfRH5 bound to monoclonal antibody MAD8-151	Homo sapiens; Plasmodium falciparum 3D7	homo sapiens		plasmodium falciparum 3d7	Farrell, B., Higgins, M.K.	1.945	X-RAY DIFFRACTION	0.252	0.23	True	True	unknown	unknown	unknown						sabdab_dataset/8pww/abangle/8pww.abangle	sabdab_dataset/8pww/annotation/8pww_B_VH.ann	sabdab_dataset/8pww/annotation/8pww_B_VL.ann	sabdab_dataset/8pww/imgt/8pww_B_H.ann	sabdab_dataset/8pww/imgt/8pww_B_L.ann	sabdab_dataset/8pww/sequence/8pww_raw.pdb	sabdab_dataset/8pww/sequence/8pww_B_VH.fa	sabdab_dataset/8pww/sequence/8pww_B_VL.fa	sabdab_dataset/8pww/structure/8pww.pdb	sabdab_dataset/8pww/structure/chothia/8pww.pdb	True	True	train	2024-06-05	True
8pyr	D		0	A	protein		cyclin-dependent kinase 7	TRANSCRIPTION	03/06/24	Crystal structure of the dual T-loop phosphorylated Cdk7/CycH/Mat1 complex	Homo sapiens; Lama glama	lama glama		homo sapiens	Anand, K., Duster, R., Geyer, M.	2.15	X-RAY DIFFRACTION	0.242	0.22	False	True	IGHV3									sabdab_dataset/8pyr/annotation/8pyr_D_VH.ann		sabdab_dataset/8pyr/imgt/8pyr_D_H.ann		sabdab_dataset/8pyr/sequence/8pyr_raw.pdb	sabdab_dataset/8pyr/sequence/8pyr_D_VH.fa		sabdab_dataset/8pyr/structure/8pyr.pdb	sabdab_dataset/8pyr/structure/chothia/8pyr.pdb	True	True	train	2024-03-06	False
8q3j	C	B	0	A	protein		interleukin-1 family member 10	CYTOKINE	08/14/24	Crystal structure of mIL-38 in complex with a neutralizing Fab e04 fragment	Mus musculus	mus musculus	mus musculus	mus musculus	Garcia-Pardo, J., Da Silva, P., Mora, J., Wiechmann, S., Putyrski, M., You, X., Kannt, A., Ernst, A., Brune, B., Weigert, A.	2.5	X-RAY DIFFRACTION	0.283	0.227	False	True	IGHV3	IGKV1	Kappa						sabdab_dataset/8q3j/abangle/8q3j.abangle	sabdab_dataset/8q3j/annotation/8q3j_C_VH.ann	sabdab_dataset/8q3j/annotation/8q3j_B_VL.ann	sabdab_dataset/8q3j/imgt/8q3j_C_H.ann	sabdab_dataset/8q3j/imgt/8q3j_B_L.ann	sabdab_dataset/8q3j/sequence/8q3j_raw.pdb	sabdab_dataset/8q3j/sequence/8q3j_C_VH.fa	sabdab_dataset/8q3j/sequence/8q3j_B_VL.fa	sabdab_dataset/8q3j/structure/8q3j.pdb	sabdab_dataset/8q3j/structure/chothia/8q3j.pdb	False	False	train	2024-08-14	True
8q6r	A		0	D	protein		properdin	IMMUNE SYSTEM	08/28/24	Structure of complement FP in complex with the TPP-3077 VHH	Homo sapiens; Lama glama	lama glama		homo sapiens	Andersen, G.R., Pedersen, D.V.	1.9	X-RAY DIFFRACTION	0.238	0.202	False	True	IGHV3									sabdab_dataset/8q6r/annotation/8q6r_A_VH.ann		sabdab_dataset/8q6r/imgt/8q6r_A_H.ann		sabdab_dataset/8q6r/sequence/8q6r_raw.pdb	sabdab_dataset/8q6r/sequence/8q6r_A_VH.fa		sabdab_dataset/8q6r/structure/8q6r.pdb	sabdab_dataset/8q6r/structure/chothia/8q6r.pdb	True	True	test	2024-08-28	False
8q7o	A		0	C	protein		frizzled-3	SIGNALING PROTEIN	08/28/24	Crystal structure of the FZD3 cysteine-rich domain in complex with a nanobody (14478)	Homo sapiens; Lama glama	lama glama		homo sapiens	Hillier, J.S., Zhao, Y., Malinauskas, T., Jones, E.Y.	1.76	X-RAY DIFFRACTION	0.222	0.217	False	True	IGHV1									sabdab_dataset/8q7o/annotation/8q7o_A_VH.ann		sabdab_dataset/8q7o/imgt/8q7o_A_H.ann		sabdab_dataset/8q7o/sequence/8q7o_raw.pdb	sabdab_dataset/8q7o/sequence/8q7o_A_VH.fa		sabdab_dataset/8q7o/structure/8q7o.pdb	sabdab_dataset/8q7o/structure/chothia/8q7o.pdb	True	True	train	2024-08-28	False
8q94	B		0	A	protein		spike protein s1	VIRAL PROTEIN	12/20/23	Crystal structure of The SARS-COV-2 BA.2.75 RBD with neutralizing-VHHs Re32D03 and Ma3B12	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Aksu, M., Guttler, T., Gorlich, D.	2.5	X-RAY DIFFRACTION	0.277	0.22	False	True	IGHV1									sabdab_dataset/8q94/annotation/8q94_B_VH.ann		sabdab_dataset/8q94/imgt/8q94_B_H.ann		sabdab_dataset/8q94/sequence/8q94_raw.pdb	sabdab_dataset/8q94/sequence/8q94_B_VH.fa		sabdab_dataset/8q94/structure/8q94.pdb	sabdab_dataset/8q94/structure/chothia/8q94.pdb	True	True	train	2023-12-20	False
8q95	B		0	A	protein		spike protein s1	VIRAL PROTEIN	12/20/23	Crystal structure of the SARS-CoV-2 BA.1 RBD with neutralizing-VHHs Ma16B06 and Ma3F05	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Aksu, M., Rymarenko, O., Guttler, T., Gorlich, D.	1.6	X-RAY DIFFRACTION	0.206	0.176	False	True	IGHV1									sabdab_dataset/8q95/annotation/8q95_B_VH.ann		sabdab_dataset/8q95/imgt/8q95_B_H.ann		sabdab_dataset/8q95/sequence/8q95_raw.pdb	sabdab_dataset/8q95/sequence/8q95_B_VH.fa		sabdab_dataset/8q95/structure/8q95.pdb	sabdab_dataset/8q95/structure/chothia/8q95.pdb	True	True	train	2023-12-20	False
8qf4	E		0	A	protein		activity-regulated cytoskeleton-associated protein	IMMUNE SYSTEM	03/13/24	Complex between N-lobe of Arc and nanobody H11	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Godoy Munoz, J.M., Kursula, P.	1.02	X-RAY DIFFRACTION	0.16	0.129	False	True	IGHV1									sabdab_dataset/8qf4/annotation/8qf4_E_VH.ann		sabdab_dataset/8qf4/imgt/8qf4_E_H.ann		sabdab_dataset/8qf4/sequence/8qf4_raw.pdb	sabdab_dataset/8qf4/sequence/8qf4_E_VH.fa		sabdab_dataset/8qf4/structure/8qf4.pdb	sabdab_dataset/8qf4/structure/chothia/8qf4.pdb	True	True	train	2024-03-13	False
8qf5	A		0	B	protein		activity-regulated cytoskeleton-associated protein	IMMUNE SYSTEM	03/13/24	Complex between N-lobe of Arc and nanobody E5	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Godoy Munoz, J.M., Kursula, P.	1.5	X-RAY DIFFRACTION	0.193	0.145	False	True	IGHV1									sabdab_dataset/8qf5/annotation/8qf5_A_VH.ann		sabdab_dataset/8qf5/imgt/8qf5_A_H.ann		sabdab_dataset/8qf5/sequence/8qf5_raw.pdb	sabdab_dataset/8qf5/sequence/8qf5_A_VH.fa		sabdab_dataset/8qf5/structure/8qf5.pdb	sabdab_dataset/8qf5/structure/chothia/8qf5.pdb	True	True	train	2024-03-13	False
8qgx	B		0	A	protein		neutrophil elastase	HYDROLASE	12/25/24	Complex between human neutrophil elastase with nanobody NbE201	Homo sapiens; Lama glama	lama glama		homo sapiens	Morales-Yanez, F., Redeghieri, P., Moray, J., Dumoulin, M., Kerff, F.	2.3	X-RAY DIFFRACTION	0.271	0.224	False	True	IGHV1									sabdab_dataset/8qgx/annotation/8qgx_B_VH.ann		sabdab_dataset/8qgx/imgt/8qgx_B_H.ann		sabdab_dataset/8qgx/sequence/8qgx_raw.pdb	sabdab_dataset/8qgx/sequence/8qgx_B_VH.fa		sabdab_dataset/8qgx/structure/8qgx.pdb	sabdab_dataset/8qgx/structure/chothia/8qgx.pdb	True	True	train	2024-12-25	False
8qh0	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN	06/19/24	Crystal structure of the SARS-CoV-2 RBD with the antibody Cv2.3194	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Fernandez, I., Rey, F.A.	1.87	X-RAY DIFFRACTION	0.209	0.185	False	True	IGHV3	IGKV3	Kappa						sabdab_dataset/8qh0/abangle/8qh0.abangle	sabdab_dataset/8qh0/annotation/8qh0_H_VH.ann	sabdab_dataset/8qh0/annotation/8qh0_L_VL.ann	sabdab_dataset/8qh0/imgt/8qh0_H_H.ann	sabdab_dataset/8qh0/imgt/8qh0_L_L.ann	sabdab_dataset/8qh0/sequence/8qh0_raw.pdb	sabdab_dataset/8qh0/sequence/8qh0_H_VH.fa	sabdab_dataset/8qh0/sequence/8qh0_L_VL.fa	sabdab_dataset/8qh0/structure/8qh0.pdb	sabdab_dataset/8qh0/structure/chothia/8qh0.pdb	False	False	validation	2024-06-19	True
8qrg	A		0	E	protein		spike protein s1	VIRAL PROTEIN	05/08/24	SARS-CoV-2 delta RBD complexed with XBB-2 Fab and NbC1	Homo sapiens; Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.3	X-RAY DIFFRACTION	0.228	0.182	False	True	IGHV1								sabdab_dataset/8qrg/abangle/8qrg.abangle	sabdab_dataset/8qrg/annotation/8qrg_A_VH.ann		sabdab_dataset/8qrg/imgt/8qrg_A_H.ann		sabdab_dataset/8qrg/sequence/8qrg_raw.pdb	sabdab_dataset/8qrg/sequence/8qrg_A_VH.fa		sabdab_dataset/8qrg/structure/8qrg.pdb	sabdab_dataset/8qrg/structure/chothia/8qrg.pdb	True	False	train	2024-05-08	False
8qz3	C		0	B	protein		potassium channel subfamily k member 10	MEMBRANE PROTEIN	05/29/24	Crystal structure of human two pore domain potassium ion channel TREK-2 (K2P10.1) in complex with an activatory nanobody (Nb67)	Homo sapiens; Lama glama	lama glama		homo sapiens	Baronina, A., Pike, A.C.W., Rodstrom, K.E.J., Ang, J., Bushell, S.R., Chalk, R., Mukhopadhyay, S.M.M., Pardon, E., Arrowsmith, C.H., Edwards, A.M., Bountra, C., Burgess-Brown, N.A., Tucker, S.J., Steyaert, J., Carpenter, E.P., Structural Genomics Consortium (SGC)	2.4	X-RAY DIFFRACTION	0.291	0.278	False	True	IGHV1									sabdab_dataset/8qz3/annotation/8qz3_C_VH.ann		sabdab_dataset/8qz3/imgt/8qz3_C_H.ann		sabdab_dataset/8qz3/sequence/8qz3_raw.pdb	sabdab_dataset/8qz3/sequence/8qz3_C_VH.fa		sabdab_dataset/8qz3/structure/8qz3.pdb	sabdab_dataset/8qz3/structure/chothia/8qz3.pdb	True	True	train	2024-05-29	False
8r4n	H	L	0	N	protein		short neurotoxin 1	ANTITOXIN	05/28/25	Crystal structure of neutralizing Fab Eq4.Dp46-3A from equine antivenom bound to short chain three finger alpha-neurotoxin from Dendroaspis polylepis.	Dendroaspis polylepis; Equus caballus	equus caballus	equus caballus	dendroaspis polylepis	Wibmer, C.K.	2.2	X-RAY DIFFRACTION	0.228	0.206	False	True	unknown	unknown	unknown						sabdab_dataset/8r4n/abangle/8r4n.abangle	sabdab_dataset/8r4n/annotation/8r4n_H_VH.ann	sabdab_dataset/8r4n/annotation/8r4n_L_VL.ann	sabdab_dataset/8r4n/imgt/8r4n_H_H.ann		sabdab_dataset/8r4n/sequence/8r4n_raw.pdb	sabdab_dataset/8r4n/sequence/8r4n_H_VH.fa	sabdab_dataset/8r4n/sequence/8r4n_L_VL.fa	sabdab_dataset/8r4n/structure/8r4n.pdb	sabdab_dataset/8r4n/structure/chothia/8r4n.pdb	True	False	validation	2025-05-28	True
8r4u	B	b	0	A	protein		serine/threonine-protein kinase sik3	LIGASE	03/27/24	Structure of salt-inducible kinase 3 with inhibitors	Homo sapiens	homo sapiens		homo sapiens	Kack, H., Oster, L.	2.416	X-RAY DIFFRACTION	0.265	0.228	True	True	unknown	unknown	unknown						sabdab_dataset/8r4u/abangle/8r4u.abangle	sabdab_dataset/8r4u/annotation/8r4u_B_VH.ann	sabdab_dataset/8r4u/annotation/8r4u_B_VL.ann	sabdab_dataset/8r4u/imgt/8r4u_B_H.ann	sabdab_dataset/8r4u/imgt/8r4u_B_L.ann	sabdab_dataset/8r4u/sequence/8r4u_raw.pdb	sabdab_dataset/8r4u/sequence/8r4u_B_VH.fa	sabdab_dataset/8r4u/sequence/8r4u_B_VL.fa	sabdab_dataset/8r4u/structure/8r4u.pdb	sabdab_dataset/8r4u/structure/chothia/8r4u.pdb	False	False	train	2024-03-27	True
8rby	B		0	A	protein		spike protein s1	ANTIVIRAL PROTEIN	12/11/24	The crystal structure of the SARS-CoV-2 receptor binding domain in complex with the neutralizing nanobody 1.26	Camelus dromedarius; Severe acute respiratory syndrome coronavirus 2	camelus dromedarius		severe acute respiratory syndrome coronavirus2 	Casasnovas, J.M., Fernandez, L.A., Silva, K.	1.9	X-RAY DIFFRACTION	0.234	0.187	False	True	IGHV1									sabdab_dataset/8rby/annotation/8rby_B_VH.ann		sabdab_dataset/8rby/imgt/8rby_B_H.ann		sabdab_dataset/8rby/sequence/8rby_raw.pdb	sabdab_dataset/8rby/sequence/8rby_B_VH.fa		sabdab_dataset/8rby/structure/8rby.pdb	sabdab_dataset/8rby/structure/chothia/8rby.pdb	True	True	validation	2024-12-11	False
8rj7	B		0	A	protein		spike protein s1	ANTIVIRAL PROTEIN	11/27/24	The crystal structure of the SARS-CoV-2 receptor binding domain in complex with the neutralizing nanobody 1.29	Camelus dromedarius; Severe acute respiratory syndrome coronavirus 2	camelus dromedarius		severe acute respiratory syndrome coronavirus2 	Casasnovas, J.M., Fernandez, L.A., Silva, K.	2.1	X-RAY DIFFRACTION	0.222	0.181	False	True	IGHV1									sabdab_dataset/8rj7/annotation/8rj7_B_VH.ann		sabdab_dataset/8rj7/imgt/8rj7_B_H.ann		sabdab_dataset/8rj7/sequence/8rj7_raw.pdb	sabdab_dataset/8rj7/sequence/8rj7_B_VH.fa		sabdab_dataset/8rj7/structure/8rj7.pdb	sabdab_dataset/8rj7/structure/chothia/8rj7.pdb	True	True	train	2024-11-27	False
8rp8	A	B	0	C	protein		leukocyte surface antigen cd47	IMMUNE SYSTEM	06/19/24	Structure of K2 Fab in complex with human CD47 ECD	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Laursen, M., Kelpsas, V., Rose, N.	2.0	X-RAY DIFFRACTION	0.214	0.18	False	True	IGHV3	IGKV1	Kappa						sabdab_dataset/8rp8/abangle/8rp8.abangle	sabdab_dataset/8rp8/annotation/8rp8_A_VH.ann	sabdab_dataset/8rp8/annotation/8rp8_B_VL.ann	sabdab_dataset/8rp8/imgt/8rp8_A_H.ann	sabdab_dataset/8rp8/imgt/8rp8_B_L.ann	sabdab_dataset/8rp8/sequence/8rp8_raw.pdb	sabdab_dataset/8rp8/sequence/8rp8_A_VH.fa	sabdab_dataset/8rp8/sequence/8rp8_B_VL.fa	sabdab_dataset/8rp8/structure/8rp8.pdb	sabdab_dataset/8rp8/structure/chothia/8rp8.pdb	False	False	train	2024-06-19	True
